index date open high low close closeAdj volume closeUSD
HSI 2020-06-18 24386.31055 24464.93945 24121.89063 24464.93945 24464.93945 1811327100.0 3180.4421285000000
HSI 2020-06-19 24373.35938 24776.53906 24334.35938 24643.89063 24643.89063 2390285700.0 3203.7057819
HSI 2020-06-22 24528.5293 24628.94922 24391.16992 24511.33984 24511.33984 1612294200.0 3186.4741792
HSI 2020-06-23 24541.43945 24907.33984 24184.88086 24907.33984 24907.33984 1549053700.0 3237.9541792
HSI 2020-06-24 25034.86914 25071.32031 24770.94922 24781.58008 24781.58008 1431913700.0 3221.6054104
HSI 2020-06-26 24697.98047 24756.58008 24537.76953 24549.99023 24549.99023 1509260100.0 3191.4987299
HSI 2020-06-29 24627.64063 24627.64063 24148.61914 24301.2793 24301.2793 1835855400.0 3159.1663090000000
HSI 2020-06-30 24468.24023 24598.60938 24271.76953 24427.18945 24427.18945 1892323300.0 3175.5346285000000
HSI 2020-07-02 24563.57031 25124.18945 24563.57031 25124.18945 25124.18945 2746546400.0 3266.1446285
HSI 2020-07-03 25319.2793 25453.58008 25182.59961 25373.11914 25373.11914 2320568900.0 3298.5054882
HSI 2020-07-06 25545.53906 26453.60938 25543.15039 26339.16016 26339.16016 4883381900.0 3424.0908208
HSI 2020-07-07 26571.08008 26782.61914 25911.74023 25975.66016 25975.66016 3913840700.0 3376.8358208
HSI 2020-07-08 26078.60938 26299.83984 25849.7793 26129.17969 26129.17969 2582679500.0 3396.7933597
HSI 2020-07-09 26351.13086 26374.93945 26016.75 26210.16016 26210.16016 2452681700.0 3407.3208208
HSI 2020-07-10 25931.7793 26137.91016 25570.35938 25727.41016 25727.41016 2142150800.0 3344.5633208
HSI 2020-07-13 25848.80078 26103.83984 25715.24023 25772.11914 25772.11914 2127288800.0 3350.3754882
HSI 2020-07-14 25663.16016 25663.16016 25254.32031 25477.89063 25477.89063 2180279200.0 3312.1257819
HSI 2020-07-15 25888.7793 25888.7793 25299.35938 25481.58008 25481.58008 1849317300.0 3312.6054104
HSI 2020-07-16 25549.40039 25576.49023 24919.94922 24970.68945 24970.68945 1935051700.0 3246.1896285000000
HSI 2020-07-17 25142.06055 25263.9707 25015.2793 25089.16992 25089.16992 1362500400.0 3261.5920896000000
HSI 2020-07-20 25019.59961 25222.10938 24766.16992 25057.99023 25057.99023 1650620500.0 3257.5387299
HSI 2020-07-21 25427.06055 25635.66016 25378.38086 25635.66016 25635.66016 1752171900.0 3332.6358208
HSI 2020-07-22 25575.25 25779.66016 25057.93945 25057.93945 25057.93945 2390051200.0 3257.5321285000000
HSI 2020-07-23 25235.90039 25346.35938 24992.36914 25263.0 25263.0 1910000000.0 3284.19
HSI 2020-07-24 25040.75977 25101.09961 24598.46094 24705.33008 24705.33008 3029706400.0 3211.6929104
HSI 2020-07-27 24909.96094 24972.46094 24526.91016 24603.25977 24603.25977 1491211000.0 3198.4237701
HSI 2020-07-28 24942.74023 24942.74023 24642.34961 24772.75977 24772.75977 1358418200.0 3220.4587701
HSI 2020-07-29 24710.50977 24905.43945 24671.50977 24883.14063 24883.14063 1080335100.0 3234.8082819
HSI 2020-07-30 24979.24023 25197.31055 24616.05078 24710.58984 24710.58984 1779681900.0 3212.3766792
HSI 2020-07-31 24747.28906 24938.84961 24534.78906 24595.34961 24595.34961 1763233900.0 3197.3954493
HSI 2020-08-03 24566.81055 24647.2793 24250.98047 24458.13086 24458.13086 2012723100.0 3179.5570118
HSI 2020-08-04 24664.59961 25062.41016 24539.43945 24946.63086 24946.63086 1906615900.0 3243.0620118
HSI 2020-08-05 25029.39063 25167.2207 24868.28906 25102.53906 25102.53906 1477936300.0 3263.3300778
HSI 2020-08-06 25201.43945 25201.43945 24641.08984 24930.58008 24930.58008 1596206100.0 3240.9754104
HSI 2020-08-07 24909.36914 24909.36914 24167.78906 24531.61914 24531.61914 1610164700.0 3189.1104882
HSI 2020-08-10 24376.82031 24536.00977 24272.66992 24377.42969 24377.42969 1256444100.0 3169.0658597
HSI 2020-08-11 24662.03906 25031.57031 24662.03906 24890.67969 24890.67969 1628363900.0 3235.7883597
HSI 2020-08-12 24868.63086 25291.80078 24685.43945 25244.01953 25244.01953 1763950100.0 3281.7225389000000
HSI 2020-08-13 25490.01953 25490.01953 25144.46094 25230.66992 25230.66992 1761196500.0 3279.9870896
HSI 2020-08-14 25072.44922 25378.5293 25040.55078 25183.00977 25183.00977 1429766800.0 3273.7912701
HSI 2020-08-17 25212.2793 25588.66992 25163.28906 25347.33984 25347.33984 1955689100.0 3295.1541792000000
HSI 2020-08-18 25470.9707 25470.9707 25257.88086 25367.38086 25367.38086 1534776000.0 3297.7595118000000
HSI 2020-08-19 25359.0293 25382.50977 25079.25 25178.91016 25178.91016 1132238600.0 3273.2583208
HSI 2020-08-20 25055.34961 25055.34961 24621.32031 24791.39063 24791.39063 1995701500.0 3222.8807819000000
